molecule,intervention_applied,standard_converged_no_intervention,standard_iterations_no_intervention,standard_wall_clock_seconds,standard_wall_clock_source,standard_energy,standard_spin_square,standard_raw_output,ml_guided_converged_with_intervention,ml_guided_iterations_with_intervention,ml_guided_wall_clock_seconds,ml_guided_wall_clock_source,ml_guided_energy,ml_guided_spin_square,ml_guided_raw_output,outcome_vs_no_intervention,harmed_by_intervention,rescued_by_intervention,delta_iterations_ml_minus_standard,relative_iteration_change_percent,delta_wall_clock_seconds_ml_minus_standard,relative_wall_clock_change_percent,false_positive_iteration_cost,false_positive_wall_clock_cost_seconds,ml_restart_triggered,ml_restart_count,ml_max_beta_shift,ml_disabled_after_max_restarts,ml_disabled_after_restart_count
dsgdb9nsd_084372,True,True,119,25.02,total_processing_time_footer,-457.5560903075,0.754081,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_084372.txt,True,194,23.64,total_processing_time_footer,-457.5561012783,0.753456,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_084372.txt,slower_than_standard_success,False,False,75,63.03,-1.38,-5.52,75,0.0,True,6,0.6,False,
dsgdb9nsd_000066,True,True,142,11.48,total_processing_time_footer,-229.6867696432,0.750244,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000066.txt,True,100,5.81,total_processing_time_footer,-229.7275940468,0.750674,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000066.txt,accelerated_standard_success,False,False,-42,-29.58,-5.67,-49.39,0,0.0,True,6,0.6,False,
dsgdb9nsd_000700,True,True,69,7.38,total_processing_time_footer,-303.2925085377,0.750191,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000700.txt,True,60,4.42,total_processing_time_footer,-303.2925299919,0.750184,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000700.txt,accelerated_standard_success,False,False,-9,-13.04,-2.96,-40.11,0,0.0,False,0,0.0,False,
dsgdb9nsd_111221,True,True,41,8.73,total_processing_time_footer,-421.6649771443,0.750175,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_111221.txt,True,121,16.23,total_processing_time_footer,-421.6649821057,0.750176,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_111221.txt,slower_than_standard_success,False,False,80,195.12,7.5,85.91,80,7.5,False,0,0.0,False,
dsgdb9nsd_000460,True,True,603,66.46,total_processing_time_footer,-284.7504054132,0.767512,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000460.txt,True,182,15.16,total_processing_time_footer,-284.8204807756,0.750207,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000460.txt,accelerated_standard_success,False,False,-421,-69.82,-51.3,-77.19,0,0.0,True,10,1.0,True,10
dsgdb9nsd_020997,True,True,45,7.12,total_processing_time_footer,-377.6829393077,0.750591,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_020997.txt,True,92,9.24,total_processing_time_footer,-377.7173140027,0.750153,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_020997.txt,slower_than_standard_success,False,False,47,104.44,2.12,29.78,47,2.12,True,6,0.6,False,
dsgdb9nsd_000070,True,True,77,7.14,total_processing_time_footer,-246.946122699,0.750583,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000070.txt,True,46,4.39,total_processing_time_footer,-246.9748625468,0.750281,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000070.txt,accelerated_standard_success,False,False,-31,-40.26,-2.75,-38.52,0,0.0,True,2,0.2,False,
dsgdb9nsd_001347,True,True,355,50.9,total_processing_time_footer,-323.822283638,0.750157,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_001347.txt,False,2111,192.0,job_start_to_termination_timestamp,-323.7913913963,0.760009,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_001347.txt,harmed_standard_success,True,False,1756,494.65,141.1,277.21,1756,141.1,True,10,1.0,True,10
dsgdb9nsd_000105,True,True,33,3.23,total_processing_time_footer,-193.8640736713,0.750168,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000105.txt,True,33,4.88,total_processing_time_footer,-193.8640744047,0.750167,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000105.txt,matched_standard_success,False,False,0,0.0,1.65,51.08,0,1.65,False,0,0.0,False,
dsgdb9nsd_002946,True,True,191,27.55,total_processing_time_footer,-344.8521252026,0.75021,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_002946.txt,True,381,33.05,total_processing_time_footer,-344.8521270928,0.750211,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_002946.txt,slower_than_standard_success,False,False,190,99.48,5.5,19.96,190,5.5,False,0,0.0,False,
dsgdb9nsd_010577,True,True,51,7.51,total_processing_time_footer,-323.375972821,0.750548,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_010577.txt,True,48,4.88,total_processing_time_footer,-323.3860143715,0.750455,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_010577.txt,accelerated_standard_success,False,False,-3,-5.88,-2.63,-35.02,0,0.0,True,1,0.1,False,
dsgdb9nsd_000214,True,True,35,3.56,total_processing_time_footer,-230.6331431111,0.815647,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000214.txt,True,213,17.31,total_processing_time_footer,-230.6331431363,0.815632,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000214.txt,slower_than_standard_success,False,False,178,508.57,13.75,386.24,178,13.75,True,10,1.0,True,10
dsgdb9nsd_000200,True,True,729,60.17,total_processing_time_footer,-299.6701215884,0.750216,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000200.txt,False,2164,130.0,job_start_to_termination_timestamp,-299.6602287447,0.750273,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000200.txt,harmed_standard_success,True,False,1435,196.84,69.83,116.05,1435,69.83,True,10,1.0,True,10
dsgdb9nsd_027872,True,True,236,57.48,total_processing_time_footer,-347.7630142266,1.119464,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_027872.txt,False,2111,243.0,job_start_to_termination_timestamp,-347.7630426239,1.118157,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_027872.txt,harmed_standard_success,True,False,1875,794.49,185.52,322.76,1875,185.52,True,10,1.0,True,10
dsgdb9nsd_001335,True,True,156,25.12,total_processing_time_footer,-344.8032508021,0.750129,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_001335.txt,True,136,15.52,total_processing_time_footer,-344.8032563658,0.750131,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_001335.txt,accelerated_standard_success,False,False,-20,-12.82,-9.6,-38.22,0,0.0,False,0,0.0,False,
dsgdb9nsd_011091,True,True,41,6.22,total_processing_time_footer,-339.5325402672,0.753303,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_011091.txt,True,44,6.93,total_processing_time_footer,-339.5325390832,0.753344,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_011091.txt,slower_than_standard_success,False,False,3,7.32,0.71,11.41,3,0.71,False,0,0.0,False,
dsgdb9nsd_002562,True,True,39,3.79,total_processing_time_footer,-316.4549558152,0.754248,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_002562.txt,True,106,9.87,total_processing_time_footer,-316.4549554763,0.753565,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_002562.txt,slower_than_standard_success,False,False,67,171.79,6.08,160.42,67,6.08,True,3,0.3,False,
dsgdb9nsd_010574,True,True,253,34.09,total_processing_time_footer,-343.1768957536,0.761761,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_010574.txt,True,169,14.65,total_processing_time_footer,-343.2246755732,0.750199,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_010574.txt,accelerated_standard_success,False,False,-84,-33.2,-19.44,-57.03,0,0.0,True,10,1.0,True,10
dsgdb9nsd_000029,True,True,33,2.46,total_processing_time_footer,-154.8347227841,0.750224,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000029.txt,True,49,3.29,total_processing_time_footer,-154.8799709826,0.750257,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000029.txt,slower_than_standard_success,False,False,16,48.48,0.83,33.74,16,0.83,True,3,0.3,False,
dsgdb9nsd_000202,True,True,59,5.86,total_processing_time_footer,-263.7947703019,0.751111,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000202.txt,True,106,8.07,total_processing_time_footer,-263.8443875675,0.750133,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000202.txt,slower_than_standard_success,False,False,47,79.66,2.21,37.71,47,2.21,True,6,0.6,False,
dsgdb9nsd_011086,True,True,288,44.92,total_processing_time_footer,-307.4207941055,0.750484,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_011086.txt,True,77,8.99,total_processing_time_footer,-307.4207966461,0.750558,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_011086.txt,accelerated_standard_success,False,False,-211,-73.26,-35.93,-79.99,0,0.0,True,1,0.1,False,
dsgdb9nsd_000606,True,True,93,8.87,total_processing_time_footer,-267.5424245106,0.750284,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000606.txt,True,87,6.7,total_processing_time_footer,-267.5622287071,0.750145,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000606.txt,accelerated_standard_success,False,False,-6,-6.45,-2.17,-24.46,0,0.0,True,5,0.5,False,
dsgdb9nsd_002559,True,True,148,15.42,total_processing_time_footer,-304.1287676009,0.768106,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_002559.txt,True,228,17.54,total_processing_time_footer,-304.128770646,0.76797,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_002559.txt,slower_than_standard_success,False,False,80,54.05,2.12,13.75,80,2.12,True,10,1.0,True,10
dsgdb9nsd_068031,True,True,38,7.69,total_processing_time_footer,-436.4814253255,0.750218,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_068031.txt,True,45,7.24,total_processing_time_footer,-436.4814317887,0.750218,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_068031.txt,slower_than_standard_success,False,False,7,18.42,-0.45,-5.85,7,0.0,False,0,0.0,False,
dsgdb9nsd_007145,True,True,416,80.26,total_processing_time_footer,-399.7816314333,0.767238,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_007145.txt,True,61,9.72,total_processing_time_footer,-399.8876381913,0.750184,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_007145.txt,accelerated_standard_success,False,False,-355,-85.34,-70.54,-87.89,0,0.0,True,1,0.1,False,
dsgdb9nsd_024011,True,True,34,4.1,total_processing_time_footer,-412.07341794,1.000186,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_024011.txt,True,34,6.15,total_processing_time_footer,-412.0734180765,1.000192,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_024011.txt,matched_standard_success,False,False,0,0.0,2.05,50.0,0,2.05,False,0,0.0,False,
dsgdb9nsd_000010,True,True,52,2.56,total_processing_time_footer,-131.7989095897,0.802133,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000010.txt,True,218,9.58,total_processing_time_footer,-131.7989080142,0.8014,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000010.txt,slower_than_standard_success,False,False,166,319.23,7.02,274.22,166,7.02,True,10,1.0,True,10
dsgdb9nsd_003928,True,True,123,13.77,total_processing_time_footer,-353.4721640283,0.79711,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_003928.txt,True,242,17.37,total_processing_time_footer,-353.4990955711,0.79108,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_003928.txt,slower_than_standard_success,False,False,119,96.75,3.6,26.14,119,3.6,True,10,1.0,True,10
dsgdb9nsd_000207,True,True,110,10.84,total_processing_time_footer,-283.5696591757,0.769494,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000207.txt,True,173,12.18,total_processing_time_footer,-283.6325293975,0.750769,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000207.txt,slower_than_standard_success,False,False,63,57.27,1.34,12.36,63,1.34,True,7,0.7,False,
dsgdb9nsd_002148,True,True,713,132.26,total_processing_time_footer,-271.9465668699,0.756515,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_002148.txt,True,101,11.56,total_processing_time_footer,-272.0248357277,0.750367,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_002148.txt,accelerated_standard_success,False,False,-612,-85.83,-120.7,-91.26,0,0.0,True,5,0.5,False,
dsgdb9nsd_003691,True,True,36,4.45,total_processing_time_footer,-318.8769551777,0.750153,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_003691.txt,True,33,3.35,total_processing_time_footer,-318.876955376,0.750151,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_003691.txt,accelerated_standard_success,False,False,-3,-8.33,-1.1,-24.72,0,0.0,True,1,0.1,False,
dsgdb9nsd_027916,True,True,32,6.18,total_processing_time_footer,-455.2715595761,0.750473,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_027916.txt,True,32,7.22,total_processing_time_footer,-455.2715602324,0.750977,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_027916.txt,matched_standard_success,False,False,0,0.0,1.04,16.83,0,1.04,False,0,0.0,False,
dsgdb9nsd_000985,True,True,60,7.17,total_processing_time_footer,-374.4526398425,0.777049,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000985.txt,True,93,9.19,total_processing_time_footer,-374.5166271185,0.750167,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000985.txt,slower_than_standard_success,False,False,33,55.0,2.02,28.17,33,2.02,True,5,0.5,False,
dsgdb9nsd_009989,True,True,32,4.26,total_processing_time_footer,-343.2378322066,0.763622,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_009989.txt,False,2123,174.0,job_start_to_termination_timestamp,-343.234662546,0.761065,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_009989.txt,harmed_standard_success,True,False,2091,6534.38,169.74,3984.51,2091,169.74,True,10,1.0,True,10
dsgdb9nsd_037331,True,True,50,13.18,total_processing_time_footer,-347.6737363787,0.750119,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_037331.txt,True,37,9.26,total_processing_time_footer,-347.6737124537,0.750112,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_037331.txt,accelerated_standard_success,False,False,-13,-26.0,-3.92,-29.74,0,0.0,False,0,0.0,False,
dsgdb9nsd_000204,True,True,92,8.8,total_processing_time_footer,-283.6150586955,0.757791,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000204.txt,True,285,19.02,total_processing_time_footer,-283.6150583275,0.751685,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000204.txt,slower_than_standard_success,False,False,193,209.78,10.22,116.14,193,10.22,True,10,1.0,True,10
dsgdb9nsd_102413,True,True,34,8.49,total_processing_time_footer,-495.7227511916,0.750058,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_102413.txt,True,34,4.92,total_processing_time_footer,-495.7227500402,0.750059,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_102413.txt,matched_standard_success,False,False,0,0.0,-3.57,-42.05,0,0.0,False,0,0.0,False,
dsgdb9nsd_033369,True,True,69,8.43,total_processing_time_footer,-374.966898032,0.855309,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_033369.txt,False,2303,164.0,job_start_to_termination_timestamp,-374.9682235321,1.037023,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_033369.txt,harmed_standard_success,True,False,2234,3237.68,155.57,1845.43,2234,155.57,True,10,1.0,True,10
dsgdb9nsd_003269,True,True,43,10.41,total_processing_time_footer,-273.1971158286,0.750138,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_003269.txt,True,98,12.35,total_processing_time_footer,-273.1971152503,0.750138,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_003269.txt,slower_than_standard_success,False,False,55,127.91,1.94,18.64,55,1.94,False,0,0.0,False,
dsgdb9nsd_000012,True,True,291,13.4,total_processing_time_footer,-168.8439525234,0.753897,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000012.txt,True,165,7.14,total_processing_time_footer,-168.8439534424,0.753931,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000012.txt,accelerated_standard_success,False,False,-126,-43.3,-6.26,-46.72,0,0.0,True,10,1.0,True,10
dsgdb9nsd_001324,True,True,49,6.24,total_processing_time_footer,-306.6005822828,0.750256,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_001324.txt,True,106,9.21,total_processing_time_footer,-306.6005809482,0.750235,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_001324.txt,slower_than_standard_success,False,False,57,116.33,2.97,47.6,57,2.97,True,6,0.6,False,
dsgdb9nsd_003106,True,True,34,4.55,total_processing_time_footer,-380.6250713788,0.75011,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_003106.txt,True,108,10.49,total_processing_time_footer,-380.6250715086,0.75011,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_003106.txt,slower_than_standard_success,False,False,74,217.65,5.94,130.55,74,5.94,True,3,0.3,False,
dsgdb9nsd_000037,True,True,265,15.58,total_processing_time_footer,-227.6911501618,0.754913,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000037.txt,True,130,7.17,total_processing_time_footer,-227.759847268,0.750266,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000037.txt,accelerated_standard_success,False,False,-135,-50.94,-8.41,-53.98,0,0.0,True,9,0.9,False,
dsgdb9nsd_000976,True,True,587,60.79,total_processing_time_footer,-354.6193272417,0.779685,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000976.txt,True,323,25.65,total_processing_time_footer,-354.6193245618,0.780124,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000976.txt,accelerated_standard_success,False,False,-264,-44.97,-35.14,-57.81,0,0.0,True,10,1.0,True,10
dsgdb9nsd_101670,True,True,113,27.07,total_processing_time_footer,-459.9060238712,0.750153,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_101670.txt,True,209,29.18,total_processing_time_footer,-459.906071315,0.750157,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_101670.txt,slower_than_standard_success,False,False,96,84.96,2.11,7.79,96,2.11,True,1,0.1,False,
