molecule,converged_x,iterations_x,Energy_x,s2_x,converged_y,iterations_y,Energy_y,s2_y
dsgdb9nsd_002562,True,106,-316.4549554763,0.753565,True,39,-316.4549558152,0.754248
dsgdb9nsd_010574,True,169,-343.2246755732,0.750199,True,253,-343.1768957536,0.761761
dsgdb9nsd_000029,True,49,-154.8799709826,0.750257,True,33,-154.8347227841,0.750224
dsgdb9nsd_000202,True,106,-263.8443875675,0.750133,True,59,-263.7947703019,0.751111
dsgdb9nsd_011086,True,77,-307.4207966461,0.750558,True,288,-307.4207941055,0.750484
dsgdb9nsd_000606,True,87,-267.5622287071,0.750145,True,93,-267.5424245106,0.750284
dsgdb9nsd_002559,True,228,-304.128770646,0.76797,True,148,-304.1287676009,0.768106
dsgdb9nsd_068031,True,45,-436.4814317887,0.750218,True,38,-436.4814253255,0.750218
dsgdb9nsd_007145,True,61,-399.8876381913,0.750184,True,416,-399.7816314333,0.767238
dsgdb9nsd_024011,True,34,-412.0734180765,1.000192,True,34,-412.07341794,1.000186
dsgdb9nsd_000010,True,218,-131.7989080142,0.8014,True,52,-131.7989095897,0.802133
dsgdb9nsd_003928,True,242,-353.4990955711,0.79108,True,123,-353.4721640283,0.79711
dsgdb9nsd_000207,True,173,-283.6325293975,0.750769,True,110,-283.5696591757,0.769494
dsgdb9nsd_002148,True,101,-272.0248357277,0.750367,True,713,-271.9465668699,0.756515
dsgdb9nsd_003691,True,33,-318.876955376,0.750151,True,36,-318.8769551777,0.750153
dsgdb9nsd_027916,True,32,-455.2715602324,0.750977,True,32,-455.2715595761,0.750473
dsgdb9nsd_000985,True,93,-374.5166271185,0.750167,True,60,-374.4526398425,0.777049
dsgdb9nsd_009989,False,2123,-343.234662546,0.761065,True,32,-343.2378322066,0.763622
dsgdb9nsd_037331,True,37,-347.6737124537,0.750112,True,50,-347.6737363787,0.750119
dsgdb9nsd_000204,True,285,-283.6150583275,0.751685,True,92,-283.6150586955,0.757791
dsgdb9nsd_102413,True,34,-495.7227500402,0.750059,True,34,-495.7227511916,0.750058
dsgdb9nsd_033369,False,2303,-374.9682235321,1.037023,True,69,-374.966898032,0.855309
dsgdb9nsd_003269,True,98,-273.1971152503,0.750138,True,43,-273.1971158286,0.750138
dsgdb9nsd_000012,True,165,-168.8439534424,0.753931,True,291,-168.8439525234,0.753897
dsgdb9nsd_001324,True,106,-306.6005809482,0.750235,True,49,-306.6005822828,0.750256
dsgdb9nsd_003106,True,108,-380.6250715086,0.75011,True,34,-380.6250713788,0.75011
dsgdb9nsd_000037,True,130,-227.759847268,0.750266,True,265,-227.6911501618,0.754913
dsgdb9nsd_000976,True,323,-354.6193245618,0.780124,True,587,-354.6193272417,0.779685
dsgdb9nsd_101670,True,209,-459.906071315,0.750157,True,113,-459.9060238712,0.750153
dsgdb9nsd_000036,True,69,-207.9465506362,0.750153,True,111,-207.8642883049,0.753834
dsgdb9nsd_003488,True,25,-342.3920919146,0.750098,True,50,-342.3920938227,0.750098
dsgdb9nsd_003677,True,443,-302.8353252628,0.75015,True,390,-302.8218069637,0.75266
dsgdb9nsd_000222,True,33,-268.7698236566,0.750248,True,89,-268.7472450639,0.750185
dsgdb9nsd_027886,True,332,-419.4554378741,0.751348,True,31,-419.4554374553,0.750701
dsgdb9nsd_108858,True,77,-350.1068955519,0.750348,True,296,-350.0970788281,0.750473
dsgdb9nsd_000141,True,129,-228.5107936564,0.750234,True,238,-228.446924789,0.762463
dsgdb9nsd_036381,True,162,-346.4545400868,0.750202,True,37,-346.4545382471,0.750185
dsgdb9nsd_000425,True,152,-284.8267592667,0.750253,True,692,-284.8129492209,0.750167
dsgdb9nsd_019831,True,93,-308.6658436392,0.750243,True,352,-308.657343265,0.750282
dsgdb9nsd_044920,True,99,-451.3848810647,0.750172,True,50,-451.3848567365,0.750152
dsgdb9nsd_000019,True,159,-207.9646272962,0.750231,True,219,-207.92944623,0.750183
dsgdb9nsd_074773,False,2189,-383.524561194,0.756888,True,823,-383.4791522744,0.944703
dsgdb9nsd_000541,True,96,-321.8096961207,0.750271,True,452,-321.7481964588,0.751022
dsgdb9nsd_017799,True,67,-382.636223785,0.750204,True,47,-382.6362192462,0.750199
dsgdb9nsd_000420,True,155,-284.8315238774,0.750204,True,776,-284.7283055543,0.76544
dsgdb9nsd_008718,True,104,-377.8307682936,0.81582,True,39,-377.8307682442,0.816163
dsgdb9nsd_002816,True,110,-336.3041716846,0.750189,True,102,-336.259836034,0.793986
dsgdb9nsd_014734,True,65,-364.0339491574,0.7511,True,126,-364.0339527301,0.750523
dsgdb9nsd_003664,False,2111,-338.606676061,0.846537,True,742,-338.635215474,0.755531
dsgdb9nsd_000120,True,37,-246.9351069943,0.750252,True,32,-246.9059533756,0.756144
dsgdb9nsd_005676,True,38,-411.1500358333,0.788955,True,44,-411.1142509039,0.939186
dsgdb9nsd_003944,True,38,-390.4286681904,0.81187,True,32,-390.4286678888,0.811872
dsgdb9nsd_017925,True,60,-309.8100460826,0.750116,True,49,-309.8100444767,0.750116
dsgdb9nsd_018801,True,613,-340.5837508352,0.756906,True,420,-340.5837479152,0.756889
dsgdb9nsd_000109,True,156,-223.6028929666,0.750752,True,147,-223.5420067651,0.806656
dsgdb9nsd_000653,True,32,-268.7238863366,0.750158,True,48,-268.7238869192,0.750158
dsgdb9nsd_000647,True,229,-267.5087690327,0.757529,True,101,-267.5087659051,0.757531
dsgdb9nsd_033716,True,208,-345.2193607827,0.750468,True,170,-345.2188115623,0.750781
dsgdb9nsd_000447,True,38,-320.6371392067,0.750266,True,41,-320.6371415199,0.750262
dsgdb9nsd_003749,True,124,-354.6941653117,0.750221,True,65,-354.6578548304,0.750587
dsgdb9nsd_004581,True,1168,-340.7481723013,0.750245,True,464,-340.7422940564,0.750155
dsgdb9nsd_005674,True,100,-379.1618574908,0.754365,True,166,-379.1619581221,0.830151
dsgdb9nsd_002043,True,1142,-271.9286261311,0.750151,True,689,-271.9286170375,0.750152
dsgdb9nsd_002916,True,87,-323.8702568481,0.750488,True,45,-323.870258273,0.750434
dsgdb9nsd_016793,True,59,-412.4040616379,0.750178,True,101,-412.3575397952,0.780872
dsgdb9nsd_000047,True,164,-156.0506879085,0.750207,True,62,-156.0506869481,0.750207
dsgdb9nsd_000723,True,682,-294.4488623822,1.79187,True,66,-294.2752434511,0.804017
dsgdb9nsd_000291,True,41,-235.3264547564,0.750124,True,76,-235.3264677147,0.75012
dsgdb9nsd_000520,True,90,-285.9716712807,0.750266,True,69,-285.9479793698,0.754226
dsgdb9nsd_000695,True,220,-231.6873594725,0.75028,True,857,-231.6873638936,0.750276
dsgdb9nsd_000656,True,136,-232.9945224807,0.750549,True,341,-232.9117952972,0.757018
