molecule,beta_rst_converged,br-iters,br-energy,br-s2,reference_converged,reference_nao,candidate_nao,alpha_electrons_reference,alpha_electrons_candidate,beta_electrons_reference,beta_electrons_candidate,alpha_electron_count_error,beta_electron_count_error,occupation_count_match,alpha_fractional_occupations_reference,alpha_fractional_occupations_candidate,beta_fractional_occupations_reference,beta_fractional_occupations_candidate,alpha_subspace_mean_squared_overlap,alpha_subspace_min_squared_overlap,alpha_subspace_rms_sine_angle,beta_subspace_mean_squared_overlap,beta_subspace_min_squared_overlap,beta_subspace_rms_sine_angle,reference_integrated_spin,candidate_integrated_spin,integrated_spin_error,spin_density_cosine_similarity,spin_density_relative_l2_error,spin_density_relative_l1_error,atomic_spin_rmse,atomic_spin_max_abs_error,soscf_energy,soscf_s2,soscf_converged,energy_difference_meh,absolute_energy_difference_meh,spin_square_difference
dsgdb9nsd_000044,True,16,-191.880907373,0.750175,True,108,112,17.0,17.0,16.0,16.0,0.0,0.0,True,0,0,0,0,0.9989805022620164,0.9828091633259568,0.0319295746602335,0.999988915402275,0.9999130520294158,0.0033293539501059,0.9998831774039728,0.9998842662597894,1.0888558167332365e-06,0.984343409394296,0.2025656840998754,0.1933714149433256,0.9806506081714784,2.3347195278294564,-191.88159970912767,0.7501615127732109,True,0.69233612765629,0.69233612765629,1.3487226789177242e-05
dsgdb9nsd_000049,True,681,-246.8801470182,0.750328,True,132,137,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.9514707873679328,0.002676805257265,0.220293469335946,0.9978802534354804,0.9838808180318906,0.0460407055171795,0.9999251506268704,0.9999888236584202,6.367303154974913e-05,-0.2166641876551858,5.807721475286744,1.7041606372621334,1.353762060054271,3.305007010405117,-246.90592058452617,0.7552280189740088,True,25.773566326165565,25.773566326165565,-0.004900018974008824
dsgdb9nsd_000055,True,16,-232.1380650905,0.750329,True,150,155,22.0,22.0,21.0,21.0,0.0,0.0,True,0,0,0,0,0.999079079568617,0.9800121131405806,0.0303466708451345,0.9999862022577028,0.9999196293834884,0.0037145312351794,0.9999565784723012,0.9999690570425868,1.247857028552346e-05,0.98307445511367,0.2279653413439165,0.2210403170896782,0.9912814632784964,3.268960236290729,-232.13913239065917,0.7503137260818526,True,1.0673001591783304,1.0673001591783304,1.5273918147373777e-05
dsgdb9nsd_000056,True,43,-228.5642312838,0.816151,True,114,119,19.0,19.0,18.0,18.0,0.0,0.0,True,0,0,0,0,0.9999956333516608,0.9999796128395988,0.0020896526839168,0.9999951188524612,0.9999727720938758,0.0022093319213753,1.0000065726925025,1.0000060501872317,-5.22505270605933e-07,0.9999837722965822,0.0057232229141018,0.0023139659593482,0.0654114010109558,0.1598830096911391,-228.5638135987063,0.8161569058059968,True,-0.4176850937085419,0.4176850937085419,-5.905805996797575e-06
dsgdb9nsd_000062,True,15,-281.6408512486,0.76807,True,108,113,20.0,20.0,19.0,19.0,0.0,0.0,True,0,0,0,0,0.9999965024379822,0.9999776040730812,0.001870177001714,0.9999964993136912,0.9999770219976952,0.0018710121081157,1.0000056386413445,1.0000055789526474,-5.968869687400513e-08,0.9999909713994264,0.0044129292814542,0.0030236506627346,0.0026200508572823,0.006388912726757,-281.6400722520357,0.768042281206494,True,-0.778996564292811,0.778996564292811,2.7718793506048556e-05
dsgdb9nsd_000063,True,19,-193.9088590568,0.750359,True,138,143,20.0,20.0,19.0,19.0,0.0,0.0,True,0,0,0,0,0.949963117061827,6.991551796077317e-07,0.2236892553033627,0.9999685976023062,0.9998344639355228,0.0056037842297496,0.9998824603586888,0.9999128515895418,3.0391230852910844e-05,0.6029377383301752,0.8983613768580458,0.8847875503928359,0.4908976755547544,0.9666418454254254,-193.89166411286675,0.7502135370277117,True,-17.19494393324794,17.19494393324794,0.00014546297228834604
dsgdb9nsd_000064,True,22,-209.9772885969,0.750289,True,132,137,20.0,20.0,19.0,19.0,0.0,0.0,True,0,0,0,0,0.9991056543810832,0.9822694625645756,0.0299056118298351,0.9999916685560626,0.9999541630266404,0.0028864240744402,0.9999500214987432,0.9999630104808042,1.298898206103516e-05,0.984372089292982,0.2019804986892226,0.2007203361876765,1.3887194543402996,3.635524594780169,-209.97899262862177,0.7502289417833659,True,1.7040317217720258,1.7040317217720258,6.0058216634129025e-05
dsgdb9nsd_000068,True,223,-230.9482656616,0.751369,True,138,143,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.9514509922204272,0.0001030973123123,0.2203383937936665,0.9983243651161564,0.990250984030024,0.0409345194651585,0.9999093244892646,0.9999906140367234,8.128954745878492e-05,0.0076976233966801,9.439321901935106,1.919478639317235,1.464727239152159,3.24349510903412,-230.9647408759388,0.7502740440992639,True,16.475214338782962,16.475214338782962,0.0010949559007360499
dsgdb9nsd_000077,True,288,-266.8110228506,0.750165,True,126,131,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.9515087928492784,0.0016358648039084,0.2202071914146351,0.9981669519547918,0.9911171057308654,0.0428141103517054,1.0000413130107626,0.9999947018274344,-4.661118332827119e-05,-0.007568821604558,12.098774163959291,1.9463100261141888,0.872740134980464,2.148109896891832,-266.8107859769076,0.7501587688134776,True,-0.2368736924154291,0.2368736924154291,6.231186522320797e-06
dsgdb9nsd_000078,True,28,-282.827345786,0.750198,True,120,125,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.9999913201903408,0.9998831846760012,0.0029461516693909,0.9999967193145636,0.9999741282595708,0.0018112662521568,0.9999501202292946,0.9999498647083802,-2.555209144272652e-07,0.9999112508383676,0.0134407394118855,0.0058937557054159,0.003040571160529,0.0074229686696255,-282.82644823050396,0.7502016661808106,True,-0.8975554960670706,0.8975554960670706,-3.6661808106019933e-06
dsgdb9nsd_000080,True,17,-282.8268433751,0.750343,True,120,125,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.9999963120927832,0.9999792447171568,0.0019203924642923,0.9999961916818412,0.99997929752472,0.0019514912653529,1.0000264055098862,1.000025913351023,-4.921588632189611e-07,0.999918561679811,0.0128045341610812,0.0041689375924125,0.0046873015910907,0.0124079460148127,-282.8259800623324,0.7503419753639058,True,-0.863312767592106,0.863312767592106,1.024636094193454e-06
dsgdb9nsd_000082,True,16,-267.9582992784,0.750251,True,138,143,22.0,22.0,21.0,21.0,0.0,0.0,True,0,0,0,0,0.9998373028233748,0.9965778925081198,0.0127552803428794,0.99999162562403,0.9999499328040672,0.002893851407751,0.9999516191311364,0.9999526666549216,1.0475237852691777e-06,0.9975830053957352,0.0794195056457348,0.0844799352408691,0.4023391499495468,1.1075756171292248,-267.9579000932416,0.7502527828535293,True,-0.39918515835779544,0.39918515835779544,-1.7828535292530034e-06
dsgdb9nsd_000086,True,20,-195.090481386,0.750263,True,150,155,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.952355698865881,1.2033885033077096e-05,0.2182757456386738,0.9999785459975188,0.9998720687668596,0.0046318465520012,0.9998852230007492,0.9997708997405672,-0.000114323260182,0.6093609545755813,1.0310718221213937,0.9145545652875376,1.2747268171219288,4.202782118644378,-195.10750358878795,0.7502672972000077,True,17.022202787956076,17.022202787956076,-4.297200007719049e-06
dsgdb9nsd_000087,True,16,-230.9257712924,0.750208,True,138,143,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.9994655212471836,0.9889545954233748,0.0231187965261243,0.999989254087562,0.999911919179926,0.003278095855513,0.9998102105336096,0.9997949951563828,-1.5215377226818204e-05,0.9894706104942034,0.1703331827032403,0.158238107376989,0.6719818932072475,1.7245740250617247,-230.92610420972238,0.7501950196873253,True,0.33291732239604244,0.33291732239604244,1.2980312674715222e-05
dsgdb9nsd_000088,True,16,-230.9298638354,0.750262,True,138,143,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.9985625840704196,0.9700279954329368,0.0379132685161856,0.9999880172171272,0.9999265165505712,0.0034616156448646,0.9999363375089512,0.9999422216754384,5.884166487279963e-06,0.968696595145095,0.3022169111004367,0.2818809932372481,0.8845698681750912,2.561455726256724,-230.9305099143883,0.7502654251437022,True,0.6460789882964946,0.6460789882964946,-3.4251437022181364e-06
dsgdb9nsd_000089,True,261,-245.7641366527,0.750228,True,120,125,20.0,20.0,19.0,19.0,0.0,0.0,True,0,0,0,0,0.9510646515682608,0.0378417699763872,0.2212133550031264,0.9983537800380587,0.9918030401009696,0.0405736362918219,1.0000012473552784,1.0000023173954975,1.0700402193197789e-06,0.0828768926477684,7.49105681980289,1.78725119808641,0.4412423919240489,0.6788476237858967,-245.7433212103824,0.7502872476625768,True,-20.815442317598354,20.815442317598354,-5.9247662576811244e-05
dsgdb9nsd_000096,True,18,-230.9248999154,0.750194,True,138,143,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.99899260572989,0.9790076587558127,0.0317394749501282,0.9999909108623296,0.9999511503847286,0.0030148196745795,1.0000326944105542,1.0000230597304185,-9.63468013570612e-06,0.974982817870078,0.2372003042364291,0.2296949424610243,0.8364474459906592,2.272586736902132,-230.9254990207775,0.7501870927760486,True,0.5991053774891952,0.5991053774891952,6.9072239514689215e-06
dsgdb9nsd_000100,True,19,-195.1035327625,0.750185,True,150,155,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.9990381179149675,0.9800623512656332,0.0310142239147213,0.9999854379393628,0.9999126429373522,0.0038160268129869,0.9999685504340444,0.9999582339854176,-1.0316448627034625e-05,0.9768771912514927,0.2358693106064751,0.2114153598794626,0.8305274461676422,2.501831015238108,-195.10535434282158,0.7501686639480809,True,1.8215803215753112,1.8215803215753112,1.6336051919085826e-05
dsgdb9nsd_000104,True,16,-266.7439341994,0.750204,True,126,131,21.0,21.0,20.0,20.0,0.0,0.0,True,0,0,0,0,0.9996911620504372,0.993693336202932,0.0175737858631186,0.9999904986602814,0.9999413549931164,0.0030824243248904,0.9999362782578142,0.9999395324517408,3.254193926660598e-06,0.9949543387913448,0.1055686627035777,0.1187753080933621,0.4921791617782925,1.276795450097478,-266.7438085500505,0.7502004510773439,True,-0.12564934945658024,0.12564934945658024,3.5489226560825315e-06
dsgdb9nsd_000147,True,279,-265.570010456,0.750709,True,114,119,20.0,20.0,19.0,19.0,0.0,0.0,True,0,0,0,0,0.9577548667994056,0.1743204761804095,0.2055362089768963,0.9985383435189064,0.992716756994589,0.0382316162500828,0.999979614821616,1.0000067907969548,2.7175975338633584e-05,0.2566664181158334,6.719038693336858,1.8479253443620247,1.6480584290830709,3.3666918790248377,-265.5713413306296,0.7505538576635118,True,1.330874629616119,1.330874629616119,0.00015514233648816766
dsgdb9nsd_000221,True,24,-265.0044903613,0.750363,True,156,162,24.0,24.0,23.0,23.0,0.0,0.0,True,0,0,0,0,0.9987786972520292,0.971004952098802,0.034947142200339,0.9999853491046408,0.9999221424073764,0.0038276488029941,0.99994335746989,0.9999643135719978,2.0956102107838603e-05,0.9575672054754328,0.3115909389795515,0.2839105460103436,1.4526929752882038,4.588604322495688,-265.0050516953926,0.7503169070773339,True,0.5613340925947341,0.5613340925947341,4.609292266610776e-05
dsgdb9nsd_000224,True,207,-269.9857873822,0.751223,True,168,174,25.0,25.0,24.0,24.0,0.0,0.0,True,0,0,0,0,0.959416468322824,0.0042214705198921,0.2014535471943242,0.9986650402482734,0.9907395640201332,0.0365371010306867,0.9998951626214218,1.0000091880743671,0.0001140254529455,0.0095942686640319,9.828373611049294,1.8710440771806616,1.478139053360092,4.221613208131712,-270.0043261389441,0.7502889194585052,True,18.5387567441353,18.5387567441353,0.0009340805414947972
dsgdb9nsd_000225,True,284,-305.8302734695,0.750204,True,156,162,25.0,25.0,24.0,24.0,0.0,0.0,True,0,0,0,0,0.9592436070436254,4.121687023966645e-05,0.2018821263915523,0.9988030909785482,0.9915316735513554,0.0345963729522588,0.999941565943386,0.9999917338578844,5.016791449852232e-05,0.0106059114214959,6.702196866185354,1.8980889863212145,0.79006521356934,1.4827558175779314,-305.8303910641743,0.7501993132586193,True,0.11759467429328652,0.11759467429328652,4.686741380655057e-06
dsgdb9nsd_000259,True,383,-285.9330441894,0.763359,True,162,168,25.0,25.0,24.0,24.0,0.0,0.0,True,0,0,0,0,0.9999827191324172,0.9997061511288592,0.0041570262908516,0.9999924744004008,0.9999279712690828,0.0027432826320494,1.0000095873530437,1.0000092266761955,-3.606768479436085e-07,0.9999824292821712,0.0060099212064567,0.0081157920345439,0.0157787130951389,0.0407275213397855,-285.93306080862055,0.7660236428458802,True,0.01661922055973264,0.01661922055973264,-0.002664642845880194
dsgdb9nsd_000279,True,12,-304.6854428049,0.780861,True,144,150,24.0,24.0,23.0,23.0,0.0,0.0,True,0,0,0,0,0.9999922057691104,0.9999242377567586,0.0027918149812489,0.999992221392296,0.9999285343104029,0.0027890155438238,1.0000196967703447,1.0000196501811538,-4.6589190949575254e-08,0.999993612083958,0.003792067579396,0.0024847882718205,0.0006421978802444,0.0013541915150529,-304.68489461803597,0.780776790753535,True,-0.5481868640231369,0.5481868640231369,8.420924646501682e-05
dsgdb9nsd_000283,True,306,-336.6912443839,0.759798,True,132,138,24.0,24.0,23.0,23.0,0.0,0.0,True,0,0,0,0,0.999993653451432,0.9999418098463682,0.0025192357111106,0.9999940257816562,0.9999408749913892,0.0024442214186963,1.0000070593499288,1.0000061643589813,-8.949909475752804e-07,0.9999876639372044,0.0050043345110745,0.0039858387525372,0.0002019068155071,0.0003447422539806,-336.69043733121504,0.759775676857064,True,-0.8070526849905946,0.8070526849905946,2.2323142935931628e-05
dsgdb9nsd_000284,True,280,-270.0127018771,0.750254,True,168,174,25.0,25.0,24.0,24.0,0.0,0.0,True,0,0,0,0,0.9593553080822794,0.001529388447688,0.2016052874250096,0.9988545362911752,0.992875644733096,0.0338446998631202,1.000053519809765,1.0000122362063588,-4.128360340627246e-05,-0.0029785075152547,9.171312112997697,1.8601464235877048,1.045361837206575,2.5833159612174783,-270.01482883092,0.7501946191340636,True,2.126953819981736,2.126953819981736,5.9380865936375926e-05
dsgdb9nsd_000285,True,266,-286.039725611,0.750208,True,162,168,25.0,25.0,24.0,24.0,0.0,0.0,True,0,0,0,0,0.959253477441206,0.0001095267065702,0.2018576789691047,0.9985758627091176,0.9901557734513752,0.0377377435849359,0.9999172674732726,0.9999985733378656,8.13058645930953e-05,-0.0029136844429574,6.86319451729039,1.9744521354229787,0.5760784352073137,1.3652628587859348,-286.0393184498352,0.7502051515362993,True,-0.40716116478733966,0.40716116478733966,2.848463700688697e-06
dsgdb9nsd_000299,True,18,-269.9637927014,0.750216,True,168,174,25.0,25.0,24.0,24.0,0.0,0.0,True,0,0,0,0,0.9977703738063785,0.9447330595629788,0.0472189177514853,0.9999790636726564,0.9998800224011418,0.0045756231644933,1.0000206467498636,0.9999908029267616,-2.9843823102115863e-05,0.9377661281065018,0.4118776337904115,0.3626516683252084,1.0722844897212471,3.440069143926291,-269.9653940442191,0.7502096763603703,True,1.6013428191286039,1.6013428191286039,6.3236396297128294e-06
dsgdb9nsd_000302,True,23,-269.9675132574,0.750245,True,168,174,25.0,25.0,24.0,24.0,0.0,0.0,True,0,0,0,0,0.9990445398847494,0.9764720609197516,0.0309105178741906,0.9999845744267134,0.999907043287536,0.003927540360905,0.9999840722705138,0.999984554233856,4.819633423469583e-07,0.9799354403748348,0.2469352972650535,0.253540056832525,0.6642294745936244,1.782782020082608,-269.96820493384905,0.7502468229278527,True,0.6916764490370042,0.6916764490370042,-1.8229278526682435e-06
dsgdb9nsd_000303,True,15,-269.9689652802,0.750172,True,168,174,25.0,25.0,24.0,24.0,0.0,0.0,True,0,0,0,0,0.999905825826878,0.998000235108338,0.0097043378507835,0.9999847323956512,0.99991705368932,0.0039073781937095,0.9997045373925276,0.9996976261730413,-6.9112194865939e-06,0.9988073595555292,0.0492589695952225,0.0546350864350269,0.2194748818628243,0.6191934296524393,-269.9686987342633,0.7501712218312591,True,-0.26654593671082694,0.26654593671082694,7.781687408892068e-07
dsgdb9nsd_000304,True,15,-250.120818734,0.750251,True,174,180,25.0,25.0,24.0,24.0,0.0,0.0,True,0,0,0,0,0.999426762334091,0.9859002460644442,0.0239423822103987,0.9999877570597429,0.9998853235439996,0.0034989913199499,0.999978479394271,0.9999783079064868,-1.71487784195179e-07,0.985035298020006,0.178337502397677,0.1823115172455456,0.9450264359202826,3.143066888383399,-250.12222169654316,0.7502206165851746,True,1.4029625431533077,1.4029625431533077,3.0383414825418953e-05
dsgdb9nsd_000306,True,281,-268.8136859671,0.750305,True,156,162,24.0,24.0,23.0,23.0,0.0,0.0,True,0,0,0,0,0.9574041055305076,0.000569590705606,0.206387728485713,0.9985751832707448,0.9905644472794742,0.0377467446179838,0.9998984794061972,0.9999976017701744,9.91223639773553e-05,-0.0079710471163537,9.6087905524017,1.984226887371825,1.8052610952484367,4.27725412403415,-268.8158820858668,0.7502595779789196,True,2.196118766789823,2.196118766789823,4.542202108037685e-05
dsgdb9nsd_000307,True,216,-284.835970691,0.750264,True,150,156,24.0,24.0,23.0,23.0,0.0,0.0,True,0,0,0,0,0.9577102473669846,0.0005440520523051,0.2056447243014403,0.9987116115749488,0.9921324953024234,0.0358941280023782,0.9999624543634176,1.0000833215056286,0.0001208671422109,0.0098842608348395,8.226963972341757,1.9111350154794773,1.0708264203229896,2.830682998287368,-284.83579243278535,0.7502567176041133,True,-0.1782582146461209,0.1782582146461209,7.282395886765158e-06
dsgdb9nsd_000317,True,28,-268.7255017208,0.750183,True,156,162,24.0,24.0,23.0,23.0,0.0,0.0,True,0,0,0,0,0.9980310684811272,0.9530868986672224,0.0443726438120707,0.9999838355858344,0.999911293327698,0.0040204992433611,0.9999535201808162,0.9999708885561176,1.736837530141866e-05,0.9520808402434988,0.3697303689493631,0.3504487728278743,1.5242962471617594,3.123167454903361,-268.7279247065717,0.7501512430700465,True,2.422985771659114,2.422985771659114,3.175692995349699e-05
dsgdb9nsd_000329,True,220,-262.66584755,0.750323,True,132,138,22.0,22.0,21.0,21.0,0.0,0.0,True,0,0,0,0,0.9534719442021484,0.0012245137739933,0.2157036295426013,0.9991664903705482,0.9965703042199686,0.0288705668363454,0.9999626791097292,1.0000020936298997,3.941452017042213e-05,0.0492557384968873,5.876781515995009,2.003274424482127,1.6781983891836143,3.056339216174829,-262.666126820556,0.7503159333280642,True,0.2792705559500064,0.2792705559500064,7.066671935729296e-06
