molecule,dalpha,dbeta
dsgdb9nsd_002684,0.0,1.1
dsgdb9nsd_002684,0.0,1.1
dsgdb9nsd_002684,0.0,1.1
dsgdb9nsd_002684,0.0,1.1
dsgdb9nsd_002684,0.0,1.1
dsgdb9nsd_002684,0.0,1.1
dsgdb9nsd_002684,0.0,1.2
dsgdb9nsd_012518,0.0,1.1
dsgdb9nsd_012518,0.0,1.1
dsgdb9nsd_012518,0.0,1.1
dsgdb9nsd_012518,0.0,1.2
dsgdb9nsd_012518,0.0,1.8
dsgdb9nsd_012518,0.0,1.6
dsgdb9nsd_012518,0.0,1.1
dsgdb9nsd_131254,0.7,0.4
dsgdb9nsd_131254,0.7,0.4
dsgdb9nsd_131254,0.7,1.2
dsgdb9nsd_131254,0.5,0.4
dsgdb9nsd_131254,0.7,0.4
dsgdb9nsd_005233,0.0,0.8
dsgdb9nsd_005233,0.0,0.8
dsgdb9nsd_005233,0.0,0.8
dsgdb9nsd_005233,0.0,0.8
dsgdb9nsd_005233,0.0,0.9
dsgdb9nsd_002024,1.2,0.7
dsgdb9nsd_002024,1.4,1.5
dsgdb9nsd_002024,1.2,1.3
dsgdb9nsd_002024,1.2,0.9
dsgdb9nsd_002024,1.2,1.9
dsgdb9nsd_002024,1.2,1.3
dsgdb9nsd_002024,1.2,0.0
dsgdb9nsd_002024,1.2,1.3
dsgdb9nsd_002024,1.2,1.6
dsgdb9nsd_002024,1.2,0.8
dsgdb9nsd_002024,1.3,0.2
dsgdb9nsd_002024,1.2,0.1
dsgdb9nsd_002024,1.2,0.4
dsgdb9nsd_002024,1.1,1.3
dsgdb9nsd_002024,1.3,1.3
dsgdb9nsd_002024,1.2,0.2
dsgdb9nsd_002024,1.2,1.3
dsgdb9nsd_002024,1.5,1.4
dsgdb9nsd_002024,0.9,2.0
dsgdb9nsd_002024,1.6,1.6
dsgdb9nsd_002024,1.2,1.3
dsgdb9nsd_002024,1.2,1.3
dsgdb9nsd_002024,1.2,1.1
dsgdb9nsd_002024,1.2,0.5
dsgdb9nsd_002024,1.2,1.3
dsgdb9nsd_013489,0.0,1.3
dsgdb9nsd_013489,0.0,1.3
dsgdb9nsd_013489,0.0,1.1
dsgdb9nsd_013489,0.0,1.2
dsgdb9nsd_013489,0.0,1.8
dsgdb9nsd_013489,0.0,1.3
dsgdb9nsd_013489,0.0,1.3
dsgdb9nsd_013489,0.0,1.3
dsgdb9nsd_013489,0.0,1.8
dsgdb9nsd_020853,0.0,0.1
dsgdb9nsd_020853,0.0,0.1
dsgdb9nsd_020853,0.0,0.1
dsgdb9nsd_012246,0.0,0.7
dsgdb9nsd_012246,0.0,0.7
dsgdb9nsd_012246,0.0,1.1
dsgdb9nsd_012246,0.0,1.1
dsgdb9nsd_012246,0.0,1.1
dsgdb9nsd_012246,0.0,0.8
dsgdb9nsd_012246,0.0,0.7
dsgdb9nsd_011973,0.1,1.9
dsgdb9nsd_011973,0.1,1.9
dsgdb9nsd_011973,0.1,2.0
dsgdb9nsd_011973,0.1,1.7
dsgdb9nsd_011973,0.1,1.9
dsgdb9nsd_011973,0.1,1.9
dsgdb9nsd_011973,0.1,1.9
dsgdb9nsd_000293,0.0,1.7
dsgdb9nsd_000293,0.0,1.7
dsgdb9nsd_000293,0.0,1.7
dsgdb9nsd_000293,0.0,1.7
dsgdb9nsd_000293,0.0,1.7
dsgdb9nsd_000293,0.0,1.7
dsgdb9nsd_002200,0.0,0.7
dsgdb9nsd_002200,0.0,0.7
dsgdb9nsd_002200,0.0,0.9
dsgdb9nsd_002200,0.0,0.7
dsgdb9nsd_002200,0.0,0.7
dsgdb9nsd_002200,0.0,0.8
dsgdb9nsd_002200,0.0,0.7
dsgdb9nsd_002200,0.0,0.7
dsgdb9nsd_002200,0.0,0.7
dsgdb9nsd_077709,0.4,1.7
dsgdb9nsd_077709,0.4,1.2
dsgdb9nsd_077709,0.4,1.9
dsgdb9nsd_077709,0.4,1.2
dsgdb9nsd_000422,0.0,0.7
dsgdb9nsd_000422,0.0,0.7
dsgdb9nsd_000422,0.0,0.7
dsgdb9nsd_000422,0.0,0.7
dsgdb9nsd_000422,0.0,0.8
dsgdb9nsd_000422,0.0,0.7
dsgdb9nsd_000422,0.0,0.7
dsgdb9nsd_000422,0.0,0.9
dsgdb9nsd_000422,0.0,0.7
dsgdb9nsd_053893,0.2,1.5
dsgdb9nsd_053893,0.3,1.3
dsgdb9nsd_053893,0.2,1.3
dsgdb9nsd_053893,0.2,1.3
dsgdb9nsd_053893,0.2,1.3
dsgdb9nsd_053893,0.2,1.1
dsgdb9nsd_053893,0.2,1.3
dsgdb9nsd_053893,0.2,1.4
dsgdb9nsd_053893,0.2,1.3
dsgdb9nsd_053893,0.5,1.7
dsgdb9nsd_053893,0.2,1.3
dsgdb9nsd_053893,0.5,1.7
dsgdb9nsd_000193,0.5,1.0
dsgdb9nsd_000193,0.5,1.0
dsgdb9nsd_000193,0.5,1.0
dsgdb9nsd_000193,0.5,1.0
dsgdb9nsd_000193,0.4,1.5
dsgdb9nsd_000193,0.5,1.0
dsgdb9nsd_000193,0.5,1.0
dsgdb9nsd_000193,0.5,1.0
dsgdb9nsd_079992,0.0,1.2
dsgdb9nsd_079992,0.0,1.0
dsgdb9nsd_079992,0.0,1.1
dsgdb9nsd_079992,0.0,1.2
dsgdb9nsd_020856,0.0,1.1
dsgdb9nsd_020856,0.0,1.1
dsgdb9nsd_020856,0.0,1.1
dsgdb9nsd_020856,0.0,1.1
dsgdb9nsd_020856,0.0,1.1
dsgdb9nsd_001853,0.0,0.9
dsgdb9nsd_001853,0.0,1.1
dsgdb9nsd_001853,0.0,0.9
dsgdb9nsd_001853,0.0,1.1
dsgdb9nsd_001853,0.0,1.1
dsgdb9nsd_001853,0.0,1.1
dsgdb9nsd_001853,0.0,1.1
dsgdb9nsd_001853,0.0,0.9
dsgdb9nsd_001853,0.0,1.1
dsgdb9nsd_001853,0.0,0.9
dsgdb9nsd_008132,1.2,0.0
dsgdb9nsd_008132,1.3,0.2
dsgdb9nsd_008132,1.3,0.2
dsgdb9nsd_008132,1.7,0.1
dsgdb9nsd_008132,1.3,0.7
dsgdb9nsd_008132,1.4,0.3
dsgdb9nsd_008132,1.3,0.1
dsgdb9nsd_008132,1.3,0.4
dsgdb9nsd_008132,1.3,0.1
dsgdb9nsd_008132,1.3,0.0
dsgdb9nsd_008132,1.3,0.2
dsgdb9nsd_008132,1.3,0.5
dsgdb9nsd_002678,0.2,0.5
dsgdb9nsd_002678,0.2,0.5
dsgdb9nsd_002678,0.2,0.5
dsgdb9nsd_002678,0.2,0.7
dsgdb9nsd_002678,0.2,0.5
dsgdb9nsd_002678,0.2,0.7
dsgdb9nsd_002678,0.2,0.5
dsgdb9nsd_002678,0.2,0.7
dsgdb9nsd_002678,0.2,0.5
dsgdb9nsd_002678,0.2,0.5
dsgdb9nsd_004037,0.0,1.1
dsgdb9nsd_004037,0.0,1.1
dsgdb9nsd_004037,0.0,1.1
dsgdb9nsd_062911,1.2,0.2
dsgdb9nsd_110128,0.9,1.1
dsgdb9nsd_110128,0.9,1.1
dsgdb9nsd_110128,0.8,1.5
dsgdb9nsd_110128,0.7,1.1
dsgdb9nsd_110128,0.8,1.9
dsgdb9nsd_110128,0.9,1.1
dsgdb9nsd_110128,0.9,1.1
dsgdb9nsd_110128,0.8,1.9
dsgdb9nsd_110128,0.9,0.8
dsgdb9nsd_110128,0.8,1.5
dsgdb9nsd_110128,0.8,2.0
dsgdb9nsd_110128,0.9,0.4
dsgdb9nsd_027847,0.5,0.8
dsgdb9nsd_027847,0.5,1.3
dsgdb9nsd_027847,0.6,0.8
dsgdb9nsd_027847,0.5,0.8
dsgdb9nsd_027847,0.5,1.7
dsgdb9nsd_027847,0.5,0.8
dsgdb9nsd_055711,0.7,0.4
dsgdb9nsd_055711,0.6,0.3
dsgdb9nsd_055711,0.7,0.4
dsgdb9nsd_055711,0.6,0.3
dsgdb9nsd_055711,0.7,0.4
dsgdb9nsd_055711,0.6,0.1
dsgdb9nsd_055711,0.7,0.4
dsgdb9nsd_107071,0.0,0.4
dsgdb9nsd_107071,0.0,0.3
dsgdb9nsd_107071,0.0,0.4
dsgdb9nsd_107071,0.0,0.4
dsgdb9nsd_107071,0.0,0.4
dsgdb9nsd_107071,0.0,0.4
dsgdb9nsd_075574,0.6,0.0
dsgdb9nsd_075574,0.6,0.0
dsgdb9nsd_075574,0.6,0.0
dsgdb9nsd_075574,0.6,0.0
dsgdb9nsd_023662,1.2,1.5
dsgdb9nsd_023662,0.6,1.6
dsgdb9nsd_023662,1.0,0.2
dsgdb9nsd_023662,1.3,0.2
dsgdb9nsd_023662,1.0,1.7
dsgdb9nsd_023662,1.0,1.2
dsgdb9nsd_023662,1.4,0.3
dsgdb9nsd_023662,1.0,0.2
dsgdb9nsd_023662,1.0,1.7
dsgdb9nsd_023662,1.0,0.2
dsgdb9nsd_023662,1.0,0.2
dsgdb9nsd_023662,1.3,1.4
dsgdb9nsd_023662,1.3,1.6
dsgdb9nsd_023662,1.3,0.2
dsgdb9nsd_023662,1.1,0.7
dsgdb9nsd_023662,1.0,0.9
dsgdb9nsd_023662,1.3,0.1
dsgdb9nsd_023662,1.2,1.9
dsgdb9nsd_023662,1.0,0.2
dsgdb9nsd_000068,1.1,0.0
dsgdb9nsd_000068,1.1,0.6
dsgdb9nsd_000068,1.1,1.9
dsgdb9nsd_000068,1.2,1.9
dsgdb9nsd_000068,1.1,0.6
dsgdb9nsd_000068,1.0,0.6
dsgdb9nsd_000068,1.1,2.0
dsgdb9nsd_000068,1.1,1.8
dsgdb9nsd_000068,1.1,0.6
dsgdb9nsd_000068,1.1,1.2
dsgdb9nsd_000068,1.1,0.7
dsgdb9nsd_000068,1.3,0.2
dsgdb9nsd_000068,1.1,0.2
dsgdb9nsd_000068,1.1,0.6
dsgdb9nsd_000068,1.1,1.0
dsgdb9nsd_000068,1.4,2.0
dsgdb9nsd_000068,1.1,1.7
dsgdb9nsd_000068,1.1,0.6
dsgdb9nsd_000068,1.0,0.5
dsgdb9nsd_000068,1.2,0.2
dsgdb9nsd_000068,1.1,0.2
dsgdb9nsd_000068,1.1,0.6
dsgdb9nsd_000068,1.1,1.3
dsgdb9nsd_000068,1.1,0.6
dsgdb9nsd_000329,0.0,1.9
dsgdb9nsd_000329,0.0,1.7
dsgdb9nsd_000329,0.0,1.9
dsgdb9nsd_000329,0.0,1.9
dsgdb9nsd_000329,0.0,1.3
dsgdb9nsd_000329,0.0,1.9
dsgdb9nsd_000329,0.0,1.9
dsgdb9nsd_000329,0.0,1.9
dsgdb9nsd_000329,0.0,1.8
dsgdb9nsd_000329,0.0,1.9
dsgdb9nsd_000329,0.0,1.5
dsgdb9nsd_003431,0.0,0.1
dsgdb9nsd_003431,0.0,0.1
dsgdb9nsd_003431,0.0,0.1
dsgdb9nsd_003431,0.0,0.3
dsgdb9nsd_003431,0.0,0.3
dsgdb9nsd_003431,0.0,0.1
dsgdb9nsd_003431,0.0,0.3
dsgdb9nsd_013325,0.0,1.8
dsgdb9nsd_013325,0.0,1.8
dsgdb9nsd_013325,0.0,1.8
dsgdb9nsd_013325,0.0,1.2
dsgdb9nsd_013325,0.0,1.8
dsgdb9nsd_013325,0.0,1.8
dsgdb9nsd_013325,0.0,1.8
dsgdb9nsd_001941,1.0,1.5
dsgdb9nsd_001941,1.1,1.2
dsgdb9nsd_001941,1.0,1.5
dsgdb9nsd_001941,1.0,2.0
dsgdb9nsd_001941,1.0,2.0
dsgdb9nsd_001941,1.1,1.2
dsgdb9nsd_001941,1.0,1.5
dsgdb9nsd_001941,1.0,1.5
dsgdb9nsd_001941,1.0,1.5
dsgdb9nsd_001941,1.0,2.0
dsgdb9nsd_001941,1.0,1.2
dsgdb9nsd_001941,1.0,1.8
dsgdb9nsd_001941,1.0,1.5
dsgdb9nsd_001941,1.1,1.2
dsgdb9nsd_001941,0.7,1.5
dsgdb9nsd_001941,1.0,2.0
dsgdb9nsd_001941,1.0,1.8
dsgdb9nsd_043152,0.0,0.8
dsgdb9nsd_043152,0.0,0.8
dsgdb9nsd_043152,0.0,0.7
dsgdb9nsd_043152,0.0,0.8
dsgdb9nsd_043152,0.0,0.7
dsgdb9nsd_043152,0.0,0.8
dsgdb9nsd_043152,0.0,0.8
dsgdb9nsd_009631,1.2,0.5
dsgdb9nsd_009631,1.2,0.5
dsgdb9nsd_009631,1.2,1.4
dsgdb9nsd_009631,1.2,1.9
dsgdb9nsd_009631,1.2,1.5
dsgdb9nsd_009631,1.2,0.5
dsgdb9nsd_009631,1.3,0.2
dsgdb9nsd_009631,1.2,0.7
dsgdb9nsd_009631,1.2,0.5
dsgdb9nsd_009631,1.2,1.9
dsgdb9nsd_009631,1.2,0.5
dsgdb9nsd_009631,1.2,0.5
dsgdb9nsd_009631,1.2,1.3
dsgdb9nsd_009631,1.0,0.5
dsgdb9nsd_009631,1.2,0.0
dsgdb9nsd_009631,1.2,1.9
dsgdb9nsd_009631,1.6,0.6
dsgdb9nsd_009631,1.2,0.8
dsgdb9nsd_012169,0.0,1.6
dsgdb9nsd_005379,0.0,0.6
dsgdb9nsd_005379,0.0,0.6
dsgdb9nsd_015980,0.0,1.1
dsgdb9nsd_015980,0.0,1.1
dsgdb9nsd_015980,0.0,1.1
dsgdb9nsd_015980,0.0,1.1
dsgdb9nsd_015980,0.0,1.1
dsgdb9nsd_102484,0.0,1.1
dsgdb9nsd_102484,0.0,1.1
dsgdb9nsd_102484,0.0,0.9
dsgdb9nsd_102484,0.0,1.1
dsgdb9nsd_102484,0.0,1.1
dsgdb9nsd_102484,0.0,0.9
dsgdb9nsd_102484,0.0,0.9
dsgdb9nsd_102484,0.0,1.1
dsgdb9nsd_102484,0.0,1.1
dsgdb9nsd_066904,0.1,2.0
dsgdb9nsd_066904,0.1,2.0
dsgdb9nsd_066904,0.1,1.9
dsgdb9nsd_066904,0.1,1.9
dsgdb9nsd_066904,0.1,2.0
dsgdb9nsd_001778,0.0,1.9
dsgdb9nsd_001778,0.0,1.9
dsgdb9nsd_001778,0.0,1.8
dsgdb9nsd_001778,0.0,1.9
dsgdb9nsd_001778,0.0,1.8
dsgdb9nsd_001778,0.0,1.8
dsgdb9nsd_001778,0.0,1.8
dsgdb9nsd_001778,0.0,1.3
dsgdb9nsd_001778,0.0,1.8
dsgdb9nsd_001778,0.0,1.8
dsgdb9nsd_001778,0.0,1.8
dsgdb9nsd_019345,0.0,1.8
dsgdb9nsd_019345,0.0,1.8
dsgdb9nsd_130199,0.0,1.4
dsgdb9nsd_130199,0.0,1.1
dsgdb9nsd_130199,0.0,1.3
dsgdb9nsd_130199,0.0,1.2
dsgdb9nsd_130199,0.0,1.2
dsgdb9nsd_130199,0.0,1.2
dsgdb9nsd_130199,0.0,0.9
dsgdb9nsd_043099,0.0,1.4
dsgdb9nsd_043099,0.0,1.1
dsgdb9nsd_043099,0.0,0.9
dsgdb9nsd_043099,0.0,0.9
dsgdb9nsd_043099,0.0,1.3
dsgdb9nsd_043099,0.0,0.9
dsgdb9nsd_043099,0.0,0.9
dsgdb9nsd_043099,0.0,1.1
dsgdb9nsd_043099,0.0,0.9
dsgdb9nsd_043099,0.0,0.9
dsgdb9nsd_037584,0.0,1.8
dsgdb9nsd_037584,0.0,1.8
dsgdb9nsd_037584,0.0,1.8
dsgdb9nsd_037584,0.0,1.8
dsgdb9nsd_037584,0.0,1.8
dsgdb9nsd_037584,0.0,1.8
dsgdb9nsd_004045,0.0,0.3
dsgdb9nsd_004045,0.0,0.3
dsgdb9nsd_004045,0.0,0.3
dsgdb9nsd_004045,0.0,0.3
dsgdb9nsd_004045,0.0,0.3
dsgdb9nsd_004045,0.0,0.3
dsgdb9nsd_002670,0.0,0.8
dsgdb9nsd_011999,0.0,2.0
dsgdb9nsd_011999,0.0,2.0
dsgdb9nsd_011999,0.0,2.0
dsgdb9nsd_059322,0.0,0.7
dsgdb9nsd_059322,0.0,0.7
dsgdb9nsd_059322,0.0,0.9
dsgdb9nsd_059322,0.0,0.8
dsgdb9nsd_059322,0.0,0.7
dsgdb9nsd_059322,0.0,0.7
dsgdb9nsd_059322,0.0,0.7
dsgdb9nsd_059322,0.0,0.7
dsgdb9nsd_059322,0.0,0.7
dsgdb9nsd_000258,1.0,0.2
dsgdb9nsd_000258,1.2,0.7
dsgdb9nsd_000258,0.9,0.2
dsgdb9nsd_000258,1.3,0.2
dsgdb9nsd_000258,1.2,1.9
dsgdb9nsd_000258,1.2,0.2
dsgdb9nsd_000258,1.2,0.2
dsgdb9nsd_000258,1.3,1.4
dsgdb9nsd_000258,1.2,0.2
dsgdb9nsd_000258,1.2,0.2
dsgdb9nsd_000258,1.3,0.2
dsgdb9nsd_000258,1.5,0.2
dsgdb9nsd_000258,1.3,0.2
dsgdb9nsd_000258,1.1,1.1
dsgdb9nsd_000258,1.2,0.2
dsgdb9nsd_000258,1.3,1.0
dsgdb9nsd_000258,1.3,1.6
dsgdb9nsd_000258,1.3,0.1
dsgdb9nsd_000258,1.2,1.5
dsgdb9nsd_000258,1.3,0.7
dsgdb9nsd_000258,1.2,0.0
dsgdb9nsd_000258,1.3,0.2
dsgdb9nsd_000258,1.3,0.2
dsgdb9nsd_000258,1.3,0.2
dsgdb9nsd_000258,1.3,0.2
dsgdb9nsd_000258,1.3,0.5
dsgdb9nsd_000423,0.0,1.2
dsgdb9nsd_000423,0.0,1.2
dsgdb9nsd_000423,0.0,1.2
dsgdb9nsd_000423,0.0,1.3
dsgdb9nsd_000423,0.0,1.2
dsgdb9nsd_002235,0.0,0.9
dsgdb9nsd_002235,0.0,0.9
dsgdb9nsd_002235,0.0,0.9
dsgdb9nsd_002235,0.0,0.9
dsgdb9nsd_019834,0.0,0.8
dsgdb9nsd_019834,0.0,0.8
dsgdb9nsd_019834,0.0,0.7
dsgdb9nsd_019834,0.0,0.7
dsgdb9nsd_019834,0.0,0.7
dsgdb9nsd_019834,0.0,0.7
dsgdb9nsd_063895,0.0,1.9
dsgdb9nsd_063895,0.0,1.9
dsgdb9nsd_063895,0.0,1.9
dsgdb9nsd_063895,0.0,1.9
dsgdb9nsd_063895,0.0,1.9
dsgdb9nsd_000609,1.3,0.2
dsgdb9nsd_000609,1.2,1.7
dsgdb9nsd_000609,1.2,1.9
dsgdb9nsd_000609,1.2,1.9
dsgdb9nsd_000609,0.5,1.7
dsgdb9nsd_000609,1.0,1.5
dsgdb9nsd_000609,1.0,0.9
dsgdb9nsd_000609,1.3,0.2
dsgdb9nsd_000609,1.0,0.8
dsgdb9nsd_000609,1.0,1.5
dsgdb9nsd_000609,1.0,1.6
dsgdb9nsd_000609,1.0,1.6
dsgdb9nsd_000609,1.0,1.6
dsgdb9nsd_000609,1.0,1.6
dsgdb9nsd_000609,1.0,1.6
dsgdb9nsd_000609,1.0,0.0
dsgdb9nsd_000609,1.0,1.6
dsgdb9nsd_000609,0.8,1.6
dsgdb9nsd_000609,0.9,0.3
dsgdb9nsd_000609,1.2,1.0
dsgdb9nsd_000609,1.0,1.1
dsgdb9nsd_000609,1.0,1.6
dsgdb9nsd_000609,1.0,2.0
dsgdb9nsd_000224,0.0,1.6
dsgdb9nsd_000224,0.0,1.6
dsgdb9nsd_001674,0.0,0.5
dsgdb9nsd_001674,0.0,0.3
dsgdb9nsd_001674,0.0,0.3
dsgdb9nsd_001674,0.0,0.3
dsgdb9nsd_001674,0.0,0.4
dsgdb9nsd_001674,0.0,0.3
dsgdb9nsd_001674,0.0,0.3
dsgdb9nsd_001674,0.0,0.3
dsgdb9nsd_001674,0.0,0.3
dsgdb9nsd_033724,0.1,1.9
dsgdb9nsd_033724,0.1,1.9
dsgdb9nsd_033724,0.1,1.9
dsgdb9nsd_033724,0.1,1.9
